slice,JS_mean__DeltaNet,JS_mean__LLaMA,JS_mean__Mamba,JS_mean__ProtoT,overlap_mean__DeltaNet,overlap_mean__LLaMA,overlap_mean__Mamba,overlap_mean__ProtoT,spearman_mean__DeltaNet,spearman_mean__LLaMA,spearman_mean__Mamba,spearman_mean__ProtoT,top1_same_rate__DeltaNet,top1_same_rate__LLaMA,top1_same_rate__Mamba,top1_same_rate__ProtoT
gender,0.054279469488188625,0.0036293476989958436,0.0030249159610830248,0.03699431061372161,0.7536,0.9464,0.9362,0.7092,0.6104425909281028,0.965771431543285,0.9494990091830366,0.4289019086819367,0.616,0.89,0.884,0.69
negation,0.1731033340021968,0.02776859303098172,0.0056066231150180106,0.08082825095206499,0.5396,0.8748,0.9348000000000001,0.7736000000000001,0.1763965186369064,0.8152696197522284,0.909854345151416,0.5356382414387213,0.388,0.77,0.992,0.806
number,0.282209116101265,0.021949907198548318,0.007053496397100389,0.08329414022713899,0.4744,0.8426,0.9072,0.6567999999999999,0.032673531223131366,0.8241816803232364,0.9070518760415786,0.4411528402967906,0.33,0.93,0.948,0.806
